   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    7700 -6.62778881E-01 -4.40645284E-01  3.13146900E-01  8.55280710E-01  0.00000000E+00
    7800 -6.71607522E-01 -4.41323494E-01  3.08304786E-01  8.60740920E-01  0.00000000E+00
    7900 -6.76356755E-01 -4.60705540E-01  3.11476656E-01  8.75628781E-01  0.00000000E+00
    8000 -7.12740408E-01 -4.22122614E-01  3.46821165E-01  8.98037477E-01  0.00000000E+00
    8100 -6.89562584E-01 -4.52800123E-01  3.47414136E-01  8.95109541E-01  0.00000000E+00
    8200 -6.45331582E-01 -4.43248626E-01  4.08322125E-01  8.82977436E-01  0.00000000E+00
    8300 -6.51553877E-01 -4.64727517E-01  4.07921684E-01  8.98272909E-01  0.00000000E+00
    8400 -6.83052316E-01 -4.81061928E-01  3.24562310E-01  8.96282176E-01  0.00000000E+00
    8500 -7.16764310E-01 -4.55707625E-01  2.88788413E-01  8.97117196E-01  0.00000000E+00
    8600 -7.01197028E-01 -4.45189368E-01  3.35966447E-01  8.95959987E-01  0.00000000E+00
    8700 -6.94760453E-01 -4.65780315E-01  3.22474814E-01  8.96456020E-01  0.00000000E+00
    8800 -6.52096746E-01 -5.24504041E-01  3.52360659E-01  9.08015798E-01  0.00000000E+00
    8900 -6.00964918E-01 -5.69539286E-01  3.33853096E-01  8.92743928E-01  0.00000000E+00
    9000 -6.45873739E-01 -5.21965779E-01  2.99064816E-01  8.82632951E-01  0.00000000E+00
    9100 -6.47464677E-01 -4.96048281E-01  3.17663665E-01  8.75319718E-01  0.00000000E+00
    9200 -6.80912990E-01 -4.76737325E-01  3.65728205E-01  9.08117887E-01  0.00000000E+00
    9300 -7.18683271E-01 -4.61794224E-01  2.76683305E-01  8.97949442E-01  0.00000000E+00
    9400 -7.22995062E-01 -4.23378778E-01  3.21268414E-01  8.97320926E-01  0.00000000E+00
    9500 -7.45792150E-01 -3.56134198E-01  3.52642743E-01  8.98551279E-01  0.00000000E+00
    9600 -7.10096436E-01 -3.71360323E-01  3.78977262E-01  8.86436237E-01  0.00000000E+00
    9700 -6.82971220E-01 -4.16487457E-01  3.75872511E-01  8.83850459E-01  0.00000000E+00
    9800 -6.74849683E-01 -3.61298417E-01  4.68278770E-01  8.97353691E-01  0.00000000E+00
    9900 -7.26604695E-01 -2.92172022E-01  4.37387080E-01  8.97009660E-01  0.00000000E+00
   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -7.56617641E-01 -2.53195605E-01  4.03525937E-01  8.94098122E-01  0.00000000E+00
     100 -7.77944684E-01 -2.60635588E-01  3.57456429E-01  8.94932366E-01  0.00000000E+00
     200 -7.80219567E-01 -2.24091030E-01  3.56337406E-01  8.86530151E-01  0.00000000E+00
     300 -8.32090691E-01 -1.59258375E-01  3.50998331E-01  9.17026704E-01  0.00000000E+00
     400 -8.38577155E-01 -1.87871349E-01  3.01003325E-01  9.10554935E-01  0.00000000E+00
     500 -8.48588015E-01 -2.24841599E-01  2.06100328E-01  9.01738714E-01  0.00000000E+00
     600 -8.26154724E-01 -2.05592745E-01  2.53669840E-01  8.88340246E-01  0.00000000E+00
     700 -8.16648586E-01 -2.43646683E-01  2.33712455E-01  8.83685538E-01  0.00000000E+00
     800 -8.51186341E-01 -2.17237287E-01  1.84334176E-01  8.97601980E-01  0.00000000E+00
     900 -8.55231701E-01 -2.15055348E-01  1.77507041E-01  8.99543671E-01  0.00000000E+00
    1000 -8.29279855E-01 -2.15442100E-01  1.87037431E-01  8.76985391E-01  0.00000000E+00
    1100 -8.45047170E-01 -1.89218773E-01  1.69395302E-01  8.82384968E-01  0.00000000E+00
    1200 -8.21123206E-01 -3.11967495E-01  1.77225102E-01  8.96089155E-01  0.00000000E+00
    1300 -8.46186610E-01 -2.50707374E-01  1.87526336E-01  9.02248354E-01  0.00000000E+00
    1400 -8.55571151E-01 -2.41974371E-01  1.51636595E-01  9.01968540E-01  0.00000000E+00
    1500 -8.66301072E-01 -1.61147844E-01  1.83239975E-01  9.00012813E-01  0.00000000E+00
    1600 -8.61317720E-01 -1.91963079E-01  1.66993574E-01  8.98111848E-01  0.00000000E+00
    1700 -8.28804274E-01 -2.46880493E-01  1.95627299E-01  8.86643413E-01  0.00000000E+00
    1800 -8.03910337E-01 -2.87902729E-01  2.42327811E-01  8.87627500E-01  0.00000000E+00
    1900 -7.66733217E-01 -3.80373293E-01  2.21112152E-01  8.83999011E-01  0.00000000E+00
    2000 -8.26688498E-01 -2.97935787E-01  1.64794345E-01  8.94056364E-01  0.00000000E+00
    2100 -8.04386484E-01 -3.53598635E-01  1.96386553E-01  9.00353980E-01  0.00000000E+00
    2200 -8.06905990E-01 -3.40172460E-01  2.21477955E-01  9.03253599E-01  0.00000000E+00
    2300 -7.53771845E-01 -4.22088384E-01  1.91148211E-01  8.84798416E-01  0.00000000E+00
    2400 -7.65137949E-01 -4.13375402E-01  1.95660368E-01  8.91402425E-01  0.00000000E+00
    2500 -7.51263383E-01 -4.24540887E-01  1.67847235E-01  8.79092901E-01  0.00000000E+00
    2600 -7.46883784E-01 -3.89628493E-01  1.49324956E-01  8.55537077E-01  0.00000000E+00
    2700 -8.11492946E-01 -3.26020910E-01  1.09227689E-01  8.81329179E-01  0.00000000E+00
    2800 -8.05531112E-01 -3.83345574E-01  1.13819002E-01  8.99326952E-01  0.00000000E+00
    2900 -7.88580048E-01 -4.00664898E-01  1.81315928E-01  9.02920993E-01  0.00000000E+00
    3000 -7.96147286E-01 -4.40012715E-01  9.46188440E-02  9.14556951E-01  0.00000000E+00
    3100 -7.75713294E-01 -4.22669009E-01  1.38218188E-01  8.94138956E-01  0.00000000E+00
    3200 -7.66130479E-01 -4.60727285E-01  1.32894218E-01  9.03817689E-01  0.00000000E+00
    3300 -7.90267041E-01 -4.42897757E-01  1.08051358E-01  9.12335199E-01  0.00000000E+00
    3400 -7.63935333E-01 -3.91978294E-01  2.12053819E-01  8.84426932E-01  0.00000000E+00
    3500 -7.97663131E-01 -4.06201750E-01  1.65165878E-01  9.10245077E-01  0.00000000E+00
    3600 -8.43403774E-01 -2.92976718E-01  1.96167922E-01  9.14137373E-01  0.00000000E+00
    3700 -8.24432569E-01 -3.03834229E-01  2.67391484E-01  9.18423925E-01  0.00000000E+00
    3800 -8.21540402E-01 -2.60597318E-01  2.86578810E-01  9.08276945E-01  0.00000000E+00
    3900 -7.53915361E-01 -3.07861190E-01  3.37630350E-01  8.81567432E-01  0.00000000E+00
    4000 -7.45213028E-01 -3.25831333E-01  3.78817201E-01  8.97224045E-01  0.00000000E+00
    4100 -7.64663576E-01 -3.45159572E-01  2.99695257E-01  8.90877524E-01  0.00000000E+00
    4200 -8.01793745E-01 -2.83337190E-01  2.91998247E-01  8.99119652E-01  0.00000000E+00
    4300 -7.85630842E-01 -2.53132683E-01  2.93349255E-01  8.75982740E-01  0.00000000E+00
    4400 -7.27553054E-01 -2.90345751E-01  3.79402095E-01  8.70390746E-01  0.00000000E+00
    4500 -7.51024976E-01 -2.81264792E-01  3.93629936E-01  8.93360467E-01  0.00000000E+00
    4600 -7.41907199E-01 -3.39852815E-01  3.55051372E-01  8.89936911E-01  0.00000000E+00
    4700 -7.91740788E-01 -3.07820220E-01  2.97209785E-01  8.99966899E-01  0.00000000E+00
    4800 -8.09214904E-01 -2.78656317E-01  3.03801871E-01  9.08170513E-01  0.00000000E+00
    4900 -7.87109960E-01 -2.89227624E-01  2.88196651E-01  8.86708530E-01  0.00000000E+00
    5000 -8.04193269E-01 -3.00696562E-01  2.24924624E-01  8.87545110E-01  0.00000000E+00
    5100 -7.92478334E-01 -3.49075086E-01  2.39171133E-01  8.98375287E-01  0.00000000E+00
    5200 -8.11352332E-01 -2.85652658E-01  2.30077152E-01  8.90407515E-01  0.00000000E+00
    5300 -8.30761510E-01 -2.48647923E-01  1.83445395E-01  8.86364874E-01  0.00000000E+00
    5400 -8.28400599E-01 -2.28031335E-01  1.29503016E-01  8.68917069E-01  0.00000000E+00
    5500 -8.51965769E-01 -2.17479593E-01  1.19343828E-01  8.87347730E-01  0.00000000E+00
    5600 -8.93623835E-01 -1.49756481E-01  9.50281011E-02  9.11054830E-01  0.00000000E+00
    5700 -8.87391658E-01 -1.31539003E-01  1.16234393E-01  9.04586590E-01  0.00000000E+00
    5800 -8.89098331E-01 -1.16149921E-01  3.99002458E-02  8.97540348E-01  0.00000000E+00
    5900 -8.81580700E-01 -2.05563098E-01  2.53998146E-02  9.05585926E-01  0.00000000E+00
    6000 -8.35820553E-01 -2.88407653E-01  4.96136361E-02  8.85571276E-01  0.00000000E+00
    6100 -8.52294322E-01 -1.92874975E-01  9.01277569E-02  8.78481291E-01  0.00000000E+00
    6200 -8.30049381E-01 -3.19253855E-01  8.51431123E-04  8.89328805E-01  0.00000000E+00
    6300 -8.76752318E-01 -2.56373271E-01  7.03525543E-02  9.16172125E-01  0.00000000E+00
    6400 -8.57237038E-01 -3.02188104E-01  1.52409920E-02  9.09068357E-01  0.00000000E+00
    6500 -8.43256651E-01 -3.17132694E-01  3.97672376E-02  9.01796184E-01  0.00000000E+00
    6600 -8.37096017E-01 -3.26393465E-01  1.00702173E-01  9.04103624E-01  0.00000000E+00
    6700 -8.14154779E-01 -3.25652576E-01  1.24764510E-01  8.85699604E-01  0.00000000E+00
    6800 -8.21961184E-01 -3.92206576E-01  7.84401268E-02  9.14111065E-01  0.00000000E+00
    6900 -8.05033188E-01 -4.01343880E-01  6.82629769E-02  9.02117054E-01  0.00000000E+00
    7000 -7.78224699E-01 -4.45291853E-01  1.22719876E-01  9.04974411E-01  0.00000000E+00
    7100 -7.68651084E-01 -4.21226805E-01  1.62086968E-01  8.91363391E-01  0.00000000E+00
