################################################################################
# File type: R
# Simulation type: M
# Number of atoms:       400
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1     155    1.00000000E+00  1.65801945E-01 -8.59152552E-01 -4.84114251E-01
      -1       1     156    1.00000000E+00 -2.96594591E-01  1.03514845E-01 -9.49376809E-01
      -1       1     157    1.00000000E+00 -3.93645728E-01 -1.41306521E-01 -9.08336671E-01
      -1       1     158    1.00000000E+00  4.35612231E-01  4.75001859E-01  7.64601346E-01
      -1       1     159    1.00000000E+00 -8.43759049E-01  4.75453579E-01  2.49027231E-01
      -1       1     160    1.00000000E+00 -5.75079778E-01 -4.12421063E-01  7.06535290E-01
      -1       1     161    1.00000000E+00 -2.71887131E-01  6.26023791E-01  7.30870441E-01
      -1       1     162    1.00000000E+00 -3.95133039E-01  8.79391424E-01  2.65594813E-01
      -1       1     163    1.00000000E+00 -2.65192564E-01  7.90322073E-01 -5.52325923E-01
      -1       1     164    1.00000000E+00  8.33062340E-01  2.77191693E-01 -4.78719023E-01
      -1       1     165    1.00000000E+00  6.37170973E-01 -7.70369445E-01 -2.33253066E-02
      -1       1     166    1.00000000E+00  2.20136120E-01 -9.30087695E-01  2.94069665E-01
      -1       1     167    1.00000000E+00  5.00392561E-01 -8.10509277E-01  3.04437180E-01
      -1       1     168    1.00000000E+00 -4.00748874E-01 -4.88062793E-02  9.14887035E-01
      -1       1     169    1.00000000E+00 -5.74879732E-01 -8.18125365E-01  1.35713571E-02
      -1       1     170    1.00000000E+00  2.88818830E-01 -7.34871109E-01  6.13635182E-01
      -1       1     171    1.00000000E+00  9.80388435E-01 -9.10937220E-02 -1.74758260E-01
      -1       1     172    1.00000000E+00  6.89672493E-01 -1.32408066E-02 -7.24000368E-01
      -1       1     173    1.00000000E+00  8.66240915E-01 -3.55192545E-01  3.51375772E-01
      -1       1     174    1.00000000E+00  8.78622314E-01 -3.79755755E-01  2.89496797E-01
      -1       1     175    1.00000000E+00  1.95124557E-01 -8.83806846E-01 -4.25219786E-01
      -1       1     176    1.00000000E+00  5.60174404E-01 -6.43900154E-02 -8.25868369E-01
      -1       1     177    1.00000000E+00 -3.21560233E-01 -2.93242375E-01 -9.00337673E-01
      -1       1     178    1.00000000E+00 -5.38476577E-03 -7.07011744E-01  7.07181305E-01
      -1       1     179    1.00000000E+00 -3.61346846E-01  8.19303107E-01  4.45163876E-01
      -1       1     180    1.00000000E+00  1.07267136E-01  4.01019311E-02  9.93421158E-01
      -1       1     181    1.00000000E+00 -7.61138619E-01  5.24907188E-01  3.80973026E-01
      -1       1     182    1.00000000E+00 -6.62515853E-01  4.22492004E-02  7.47855433E-01
      -1       1     183    1.00000000E+00  1.42486782E-01  8.70596960E-01 -4.70912359E-01
      -1       1     184    1.00000000E+00  7.55868340E-01  1.48603903E-01 -6.37636207E-01
      -1       1     185    1.00000000E+00  5.11782948E-01 -6.39290680E-01 -5.73921285E-01
      -1       1     186    1.00000000E+00  9.41839292E-01 -6.72354204E-02 -3.29269110E-01
      -1       1     187    1.00000000E+00  8.73975173E-01 -3.04126692E-01  3.79043997E-01
      -1       1     188    1.00000000E+00  7.23994905E-01 -3.32508743E-01 -6.04375143E-01
      -1       1     189    1.00000000E+00  9.87461712E-01  7.70314360E-02 -1.37787973E-01
      -1       1     190    1.00000000E+00  8.02151134E-01  4.71249721E-01  3.66711411E-01
      -1       1     191    1.00000000E+00 -5.54839944E-01 -1.21846574E-02  8.31867881E-01
      -1       1     192    1.00000000E+00  6.15281601E-01 -7.21348034E-01  3.17939562E-01
      -1       1     193    1.00000000E+00  8.46336440E-01 -5.32568483E-01  9.24350716E-03
      -1       1     194    1.00000000E+00  6.46356020E-01 -7.54395393E-01  1.14505396E-01
