#  Iter.   M_avg.    U_Bind.    Susc.
    9191  0.177219  0.280454 14.689421
    9201  0.177352  0.280655 14.686030
    9211  0.177764  0.280862 14.682966
    9221  0.177970  0.281075 14.679864
    9231  0.177985  0.281289 14.676607
    9241  0.177766  0.281493 14.673333
    9251  0.177520  0.281688 14.670078
    9261  0.177320  0.281875 14.666784
    9271  0.176950  0.282052 14.663722
    9281  0.176624  0.282218 14.660806
    9291  0.176299  0.282373 14.658032
    9301  0.175941  0.282519 14.655460
    9311  0.175623  0.282654 14.653014
    9321  0.175440  0.282783 14.650508
    9331  0.175300  0.282907 14.647904
    9341  0.175122  0.283024 14.645238
    9351  0.174928  0.283135 14.642529
    9361  0.174660  0.283237 14.639870
    9371  0.174406  0.283331 14.637241
    9381  0.174442  0.283427 14.634473
    9391  0.174339  0.283520 14.631593
    9401  0.174200  0.283608 14.628629
    9411  0.174265  0.283699 14.625540
    9421  0.174244  0.283790 14.622321
    9431  0.174273  0.283883 14.618974
    9441  0.174385  0.283980 14.615534
    9451  0.174283  0.284075 14.611997
    9461  0.174141  0.284164 14.608391
    9471  0.173915  0.284247 14.604798
    9481  0.173747  0.284324 14.601160
    9491  0.173857  0.284406 14.597436
    9501  0.174036  0.284494 14.593679
    9511  0.174111  0.284586 14.589823
    9521  0.174290  0.284684 14.585936
    9531  0.174349  0.284785 14.581948
    9541  0.174703  0.284891 14.578174
    9551  0.174983  0.285005 14.574490
    9561  0.175278  0.285125 14.570917
    9571  0.175766  0.285242 14.567842
    9581  0.176248  0.285357 14.565241
    9591  0.177064  0.285396 14.564208
    9601  0.177853  0.285373 14.564613
    9611  0.178455  0.285337 14.565778
    9621  0.178993  0.285297 14.567512
    9631  0.179599  0.285245 14.570002
    9641  0.180246  0.285174 14.573364
    9651  0.180787  0.285101 14.577274
    9661  0.181214  0.285034 14.581449
    9671  0.181563  0.284976 14.585738
    9681  0.181989  0.284924 14.590287
    9691  0.182485  0.284873 14.595254
    9701  0.183017  0.284820 14.600724
    9711  0.183569  0.284763 14.606742
    9721  0.184053  0.284709 14.613132
    9731  0.184492  0.284660 14.619784
    9741  0.184765  0.284620 14.626410
    9751  0.184978  0.284587 14.632938
    9761  0.185224  0.284562 14.639407
    9771  0.185390  0.284543 14.645738
    9781  0.185780  0.284531 14.652236
    9791  0.186416  0.284502 14.659508
    9801  0.187074  0.284455 14.667616
    9811  0.187744  0.284387 14.676586
    9821  0.188401  0.284303 14.686365
    9831  0.188685  0.284228 14.696103
    9841  0.188978  0.284160 14.705816
    9851  0.189333  0.284101 14.715598
    9861  0.189652  0.284049 14.725393
    9871  0.189977  0.284005 14.735209
    9881  0.190218  0.283969 14.744935
    9891  0.190439  0.283939 14.754550
    9901  0.190658  0.283917 14.764054
    9911  0.191043  0.283900 14.773686
    9921  0.191375  0.283890 14.783355
    9931  0.191642  0.283888 14.792970
    9941  0.192062  0.283889 14.802777
    9951  0.192306  0.283897 14.812502
    9961  0.192421  0.283909 14.822039
    9971  0.192456  0.283924 14.831363
    9981  0.192620  0.283943 14.840537
    9991  0.192649  0.283964 14.849502
    9001  0.064666 -0.043239 11.734180
    9011  0.064577 -0.043391 11.726231
    9021  0.064497 -0.043554 11.718280
    9031  0.064439 -0.043723 11.710297
    9041  0.064284 -0.043907 11.702493
    9051  0.064261 -0.044092 11.694629
    9061  0.064255 -0.044274 11.686702
    9071  0.064193 -0.044463 11.678751
    9081  0.064097 -0.044664 11.670832
    9091  0.064037 -0.044871 11.662889
    9101  0.063925 -0.045090 11.655011
    9111  0.063801 -0.045322 11.647225
    9121  0.063657 -0.045567 11.639584
    9131  0.063708 -0.045797 11.631909
    9141  0.063689 -0.046026 11.624179
    9151  0.063725 -0.046243 11.616405
    9161  0.063695 -0.046461 11.608585
    9171  0.063621 -0.046688 11.600763
    9181  0.063518 -0.046926 11.592991
    9191  0.063398 -0.047175 11.585303
    9201  0.063256 -0.047436 11.577755
    9211  0.063243 -0.047696 11.570155
    9221  0.063270 -0.047945 11.562509
    9231  0.063309 -0.048183 11.554826
    9241  0.063200 -0.048431 11.547205
    9251  0.063278 -0.048658 11.539591
    9261  0.063354 -0.048866 11.531983
    9271  0.063244 -0.049085 11.524440
    9281  0.063249 -0.049299 11.516849
    9291  0.063170 -0.049522 11.509268
    9301  0.063108 -0.049750 11.501677
    9311  0.063111 -0.049974 11.494040
    9321  0.063112 -0.050194 11.486359
    9331  0.063106 -0.050411 11.478635
    9341  0.063053 -0.050633 11.470896
    9351  0.062946 -0.050865 11.463219
    9361  0.062853 -0.051106 11.455580
    9371  0.062713 -0.051358 11.448076
    9381  0.062599 -0.051620 11.440648
    9391  0.062619 -0.051874 11.433181
    9401  0.062523 -0.052137 11.425756
    9411  0.062443 -0.052407 11.418348
    9421  0.062428 -0.052676 11.410901
    9431  0.062444 -0.052937 11.403417
    9441  0.062556 -0.053174 11.396006
    9451  0.062686 -0.053384 11.388704
    9461  0.062810 -0.053569 11.381498
    9471  0.062890 -0.053735 11.374307
    9481  0.062975 -0.053884 11.367141
    9491  0.063077 -0.054011 11.360026
    9501  0.063194 -0.054116 11.352990
    9511  0.063377 -0.054193 11.346205
    9521  0.063488 -0.054250 11.339483
    9531  0.063540 -0.054296 11.332743
    9541  0.063485 -0.054349 11.325987
    9551  0.063483 -0.054399 11.319192
    9561  0.063417 -0.054457 11.312393
    9571  0.063285 -0.054526 11.305705
    9581  0.063202 -0.054603 11.299035
    9591  0.063232 -0.054673 11.292335
    9601  0.063311 -0.054728 11.285648
    9611  0.063265 -0.054788 11.278940
    9621  0.063176 -0.054856 11.272263
    9631  0.063047 -0.054935 11.265688
    9641  0.062975 -0.055020 11.259119
    9651  0.063008 -0.055099 11.252522
    9661  0.063047 -0.055169 11.245901
    9671  0.063090 -0.055230 11.239260
    9681  0.063293 -0.055270 11.232925
    9691  0.063447 -0.055287 11.226749
    9701  0.063585 -0.055283 11.220691
    9711  0.063751 -0.055258 11.214820
    9721  0.063913 -0.055212 11.209122
    9731  0.064101 -0.055145 11.203670
    9741  0.064224 -0.055061 11.198297
    9751  0.064292 -0.054967 11.192915
    9761  0.064422 -0.054855 11.187625
    9771  0.064549 -0.054727 11.182421
    9781  0.064656 -0.054583 11.177263
    9791  0.064698 -0.054434 11.172074
    9801  0.064762 -0.054276 11.166873
    9811  0.064813 -0.054112 11.161648
    9821  0.064914 -0.053934 11.156462
    9831  0.065094 -0.053739 11.151490
    9841  0.065233 -0.053530 11.146626
    9851  0.065305 -0.053311 11.141758
    9861  0.065341 -0.053088 11.136855
    9871  0.065286 -0.052872 11.131930
    9881  0.065312 -0.052654 11.126967
    9891  0.065304 -0.052437 11.121960
    9901  0.065305 -0.052221 11.116912
    9911  0.065335 -0.052002 11.111829
    9921  0.065384 -0.051778 11.106724
    9931  0.065415 -0.051550 11.101587
    9941  0.065533 -0.051309 11.096519
    9951  0.065737 -0.051057 11.091735
    9961  0.065933 -0.050794 11.087207
    9971  0.066167 -0.050526 11.083059
    9981  0.066259 -0.050249 11.078929
    9991  0.066341 -0.049963 11.074803
    9001  0.042469  0.090600 11.129914
    9011  0.042431  0.090560 11.129799
    9021  0.042338  0.090506 11.129775
    9031  0.042287  0.090443 11.129648
    9041  0.042194  0.090366 11.129610
    9051  0.042101  0.090275 11.129658
    9061  0.042003  0.090172 11.129816
    9071  0.041958  0.090061 11.129860
    9081  0.041924  0.089944 11.129768
    9091  0.041826  0.089816 11.129793
    9101  0.041752  0.089676 11.129810
    9111  0.041667  0.089524 11.129871
    9121  0.041650  0.089372 11.129775
    9131  0.041581  0.089209 11.129654
    9141  0.041532  0.089039 11.129445
    9151  0.041568  0.088883 11.129116
    9161  0.041661  0.088752 11.128882
    9171  0.041729  0.088643 11.128626
    9181  0.041747  0.088541 11.128226
    9191  0.041807  0.088458 11.127778
    9201  0.041922  0.088398 11.127560
    9211  0.042024  0.088362 11.127482
    9221  0.042133  0.088347 11.127593
    9231  0.042301  0.088337 11.128348
    9241  0.042404  0.088349 11.129240
    9251  0.042403  0.088362 11.129972
    9261  0.042406  0.088378 11.130546
    9271  0.042373  0.088388 11.130997
    9281  0.042361  0.088396 11.131301
    9291  0.042393  0.088414 11.131485
    9301  0.042470  0.088451 11.131685
    9311  0.042594  0.088504 11.132162
    9321  0.042689  0.088577 11.132744
    9331  0.042761  0.088665 11.133320
    9341  0.042774  0.088757 11.133754
    9351  0.042842  0.088863 11.134170
    9361  0.042930  0.088987 11.134656
    9371  0.042989  0.089123 11.135094
    9381  0.043050  0.089272 11.135493
    9391  0.043011  0.089413 11.135794
    9401  0.042932  0.089543 11.136129
    9411  0.042920  0.089671 11.136333
    9421  0.042923  0.089799 11.136404
    9431  0.042935  0.089931 11.136348
    9441  0.042963  0.090069 11.136186
    9451  0.042997  0.090213 11.135928
    9461  0.042944  0.090350 11.135618
    9471  0.042876  0.090475 11.135308
    9481  0.042807  0.090591 11.135001
    9491  0.042740  0.090697 11.134692
    9501  0.042784  0.090812 11.134314
    9511  0.042886  0.090942 11.134089
    9521  0.042908  0.091076 11.133757
    9531  0.042949  0.091219 11.133353
    9541  0.042947  0.091362 11.132835
    9551  0.042947  0.091504 11.132205
    9561  0.042938  0.091645 11.131466
    9571  0.042901  0.091780 11.130653
    9581  0.042878  0.091911 11.129748
    9591  0.042863  0.092039 11.128744
    9601  0.042862  0.092167 11.127637
    9611  0.042895  0.092301 11.126457
    9621  0.042908  0.092439 11.125183
    9631  0.042948  0.092584 11.123851
    9641  0.042973  0.092733 11.122437
    9651  0.042984  0.092885 11.120933
    9661  0.043010  0.093042 11.119353
    9671  0.043003  0.093198 11.117683
    9681  0.042969  0.093348 11.115951
    9691  0.042980  0.093500 11.114133
    9701  0.042959  0.093648 11.112241
    9711  0.042934  0.093792 11.110278
    9721  0.042981  0.093945 11.108284
    9731  0.043006  0.094102 11.106224
    9741  0.043019  0.094261 11.104086
    9751  0.043044  0.094425 11.101883
    9761  0.043086  0.094596 11.099646
    9771  0.043069  0.094764 11.097339
    9781  0.043073  0.094933 11.094955
    9791  0.043019  0.095094 11.092567
    9801  0.043011  0.095253 11.090105
