################################################################################
# File type: R
# Simulation type: H
# Number of atoms:       400
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1      41    1.00000000E+00  4.05780805E-01 -9.13965695E-01  2.94048142E-03
      -1       1      42    1.00000000E+00  7.40573120E-01  6.71956372E-01 -5.10766925E-03
      -1       1      43    1.00000000E+00 -8.73812889E-01  4.86257983E-01 -2.05150848E-03
      -1       1      44    1.00000000E+00 -1.93289490E-01 -9.81122175E-01 -6.20091030E-03
      -1       1      45    1.00000000E+00  9.92182102E-01  1.23965629E-01 -1.43944271E-02
      -1       1      46    1.00000000E+00 -4.10908841E-01  9.11488783E-01 -1.84965437E-02
      -1       1      47    1.00000000E+00 -7.36016699E-01 -6.76439319E-01 -2.66320792E-02
      -1       1      48    1.00000000E+00  8.77293654E-01 -4.79783428E-01 -1.27947900E-02
      -1       1      49    1.00000000E+00  1.83358505E-01  9.82799738E-01 -2.20075790E-02
      -1       1      50    1.00000000E+00 -9.91596794E-01 -1.27832064E-01 -1.98686018E-02
      -1       1      51    1.00000000E+00  4.30958256E-01 -9.02355925E-01 -5.36336422E-03
      -1       1      52    1.00000000E+00  7.41895862E-01  6.70489627E-01  5.84725871E-03
      -1       1      53    1.00000000E+00 -8.68608074E-01  4.95496720E-01  1.73623735E-03
      -1       1      54    1.00000000E+00 -1.93635095E-01 -9.80875937E-01 -1.96938141E-02
      -1       1      55    1.00000000E+00  9.92976877E-01  1.17114519E-01 -1.67663792E-02
      -1       1      56    1.00000000E+00 -4.25236905E-01  9.05061171E-01 -6.15226318E-03
      -1       1      57    1.00000000E+00 -7.29047964E-01 -6.84432337E-01 -6.43753363E-03
      -1       1      58    1.00000000E+00  8.73634641E-01 -4.86476129E-01 -1.01730151E-02
      -1       1      59    1.00000000E+00  2.02797124E-01  9.79192572E-01 -7.43194017E-03
      -1       1      60    1.00000000E+00 -9.93701424E-01 -1.11882756E-01  6.30303334E-03
      -1       1      61    1.00000000E+00  5.02890606E-01  8.64325734E-01 -6.48560472E-03
      -1       1      62    1.00000000E+00 -9.78767418E-01  2.04449598E-01  1.46527386E-02
      -1       1      63    1.00000000E+00  1.19769146E-01 -9.92791293E-01 -4.56071434E-03
      -1       1      64    1.00000000E+00  9.02396723E-01  4.30859039E-01 -6.37516402E-03
      -1       1      65    1.00000000E+00 -6.72031765E-01  7.40519609E-01 -2.00395067E-03
