   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   12400 -4.08290490E-06  5.62080760E-06  6.39441450E-01  6.39441450E-01  0.00000000E+00
   12500 -4.53879383E-06  1.46208318E-06  6.39440857E-01  6.39440857E-01  0.00000000E+00
   12600  2.20252661E-06 -3.35050306E-06  6.39446988E-01  6.39446988E-01  0.00000000E+00
   12700 -1.84007742E-06  2.02443832E-07  6.39440038E-01  6.39440038E-01  0.00000000E+00
   12800  2.31774106E-07 -2.43062870E-06  6.39441425E-01  6.39441425E-01  0.00000000E+00
   12900  1.12732833E-06  1.08471633E-06  6.39455469E-01  6.39455469E-01  0.00000000E+00
   13000  3.82180271E-06 -2.97874477E-06  6.39446428E-01  6.39446428E-01  0.00000000E+00
   13100 -4.77875311E-07  2.00774401E-06  6.39457865E-01  6.39457865E-01  0.00000000E+00
   13200  8.36375955E-06 -3.92559229E-06  6.39459486E-01  6.39459486E-01  0.00000000E+00
   13300 -4.00600322E-06  2.13362884E-06  6.39465093E-01  6.39465093E-01  0.00000000E+00
   13400  5.60497747E-06  1.60674423E-06  6.39461337E-01  6.39461337E-01  0.00000000E+00
   13500  1.94263736E-06  3.33274185E-06  6.39456179E-01  6.39456179E-01  0.00000000E+00
   13600 -9.84241436E-07 -7.94637306E-07  6.39458115E-01  6.39458115E-01  0.00000000E+00
   13700 -9.85001615E-07  4.17946846E-06  6.39455667E-01  6.39455667E-01  0.00000000E+00
   13800  1.11731429E-06 -3.58519366E-06  6.39459366E-01  6.39459366E-01  0.00000000E+00
   13900  3.70549396E-06  2.33927015E-07  6.39469265E-01  6.39469265E-01  0.00000000E+00
   14000  8.50135769E-06 -1.41330401E-06  6.39477903E-01  6.39477903E-01  0.00000000E+00
   14100  1.18506675E-06 -8.60361253E-06  6.39484436E-01  6.39484436E-01  0.00000000E+00
   14200  4.01114558E-06  2.39260709E-06  6.39483158E-01  6.39483158E-01  0.00000000E+00
   14300 -4.58976535E-06 -3.59200244E-06  6.39478920E-01  6.39478921E-01  0.00000000E+00
   14400 -3.41082265E-06 -2.45141110E-06  6.39474485E-01  6.39474485E-01  0.00000000E+00
   14500  4.81578022E-06 -7.04192684E-06  6.39468771E-01  6.39468771E-01  0.00000000E+00
   14600  5.48627404E-06 -5.00969214E-06  6.39461290E-01  6.39461290E-01  0.00000000E+00
   14700 -1.10889874E-06 -1.25418909E-06  6.39467634E-01  6.39467634E-01  0.00000000E+00
   14800  8.51098945E-06  3.03669054E-06  6.39461459E-01  6.39461459E-01  0.00000000E+00
   14900 -6.59523991E-07 -6.01501628E-06  6.39465789E-01  6.39465789E-01  0.00000000E+00
   15000  3.47417308E-06  4.16192413E-06  6.39472040E-01  6.39472040E-01  0.00000000E+00
   15100 -4.22211017E-06 -3.19122175E-06  6.39470391E-01  6.39470391E-01  0.00000000E+00
   15200  2.20991540E-06  1.62037574E-06  6.39468996E-01  6.39468996E-01  0.00000000E+00
   15300 -5.52920732E-08 -2.58081241E-06  6.39463124E-01  6.39463124E-01  0.00000000E+00
   15400 -1.06066239E-06 -7.18574945E-08  6.39458604E-01  6.39458604E-01  0.00000000E+00
   15500 -2.96469161E-06 -1.29545611E-06  6.39462368E-01  6.39462368E-01  0.00000000E+00
   15600  5.19814762E-07  1.00063728E-05  6.39459039E-01  6.39459039E-01  0.00000000E+00
   15700  3.23651335E-06 -7.88594277E-06  6.39455417E-01  6.39455417E-01  0.00000000E+00
   15800 -1.05028902E-06  1.69849967E-06  6.39458595E-01  6.39458595E-01  0.00000000E+00
   15900 -1.65966562E-06 -2.48508955E-06  6.39454195E-01  6.39454195E-01  0.00000000E+00
   16000 -2.95736725E-06  1.80474039E-07  6.39455739E-01  6.39455739E-01  0.00000000E+00
   16100  8.74056441E-07  1.02567473E-05  6.39460036E-01  6.39460036E-01  0.00000000E+00
   16200 -2.76677073E-07 -9.09720016E-06  6.39463214E-01  6.39463214E-01  0.00000000E+00
   16300  2.30908545E-06 -2.48397324E-07  6.39450420E-01  6.39450420E-01  0.00000000E+00
   16400 -4.83609579E-06  1.33721317E-06  6.39444746E-01  6.39444746E-01  0.00000000E+00
   16500 -2.67660321E-06  9.50745754E-06  6.39444286E-01  6.39444286E-01  0.00000000E+00
   16600 -2.82914736E-06 -5.26163764E-06  6.39450395E-01  6.39450395E-01  0.00000000E+00
   16700  4.56746406E-06 -1.41088627E-06  6.39463417E-01  6.39463417E-01  0.00000000E+00
   16800 -5.26540340E-06 -1.24629852E-06  6.39467682E-01  6.39467682E-01  0.00000000E+00
