#  Iter.   M_avg.    U_Bind.    Susc.
    9621  0.677334  0.664101  0.041108
    9631  0.677409  0.664102  0.041100
    9641  0.677477  0.664102  0.041092
    9651  0.677515  0.664103  0.041084
    9661  0.677540  0.664104  0.041075
    9671  0.677555  0.664104  0.041067
    9681  0.677582  0.664105  0.041058
    9691  0.677599  0.664106  0.041049
    9701  0.677628  0.664106  0.041039
    9711  0.677661  0.664107  0.041030
    9721  0.677623  0.664108  0.041020
    9731  0.677521  0.664108  0.041011
    9741  0.677462  0.664109  0.041002
    9751  0.677358  0.664110  0.040994
    9761  0.677283  0.664110  0.040986
    9771  0.677270  0.664111  0.040978
    9781  0.677281  0.664111  0.040970
    9791  0.677232  0.664112  0.040961
    9801  0.677194  0.664112  0.040952
    9811  0.677169  0.664113  0.040944
    9821  0.677173  0.664114  0.040935
    9831  0.677196  0.664114  0.040925
    9841  0.677218  0.664115  0.040916
    9851  0.677234  0.664116  0.040906
    9861  0.677282  0.664116  0.040896
    9871  0.677315  0.664117  0.040886
    9881  0.677352  0.664118  0.040876
    9891  0.677408  0.664118  0.040866
    9901  0.677457  0.664119  0.040856
    9911  0.677562  0.664120  0.040847
    9921  0.677616  0.664120  0.040838
    9931  0.677664  0.664121  0.040828
    9941  0.677773  0.664122  0.040820
    9951  0.677802  0.664122  0.040812
    9961  0.677801  0.664123  0.040803
    9971  0.677863  0.664123  0.040794
    9981  0.677856  0.664124  0.040785
    9991  0.677843  0.664125  0.040776
    9001  0.756600  0.665920  0.018619
    9011  0.756634  0.665920  0.018619
    9021  0.756651  0.665920  0.018620
    9031  0.756633  0.665920  0.018620
    9041  0.756642  0.665920  0.018620
    9051  0.756657  0.665920  0.018619
    9061  0.756674  0.665920  0.018619
    9071  0.756697  0.665920  0.018618
    9081  0.756705  0.665921  0.018616
    9091  0.756708  0.665921  0.018615
    9101  0.756732  0.665921  0.018613
    9111  0.756767  0.665921  0.018612
    9121  0.756838  0.665921  0.018611
    9131  0.756834  0.665921  0.018609
    9141  0.756783  0.665921  0.018608
    9151  0.756695  0.665921  0.018607
    9161  0.756621  0.665921  0.018607
    9171  0.756562  0.665921  0.018608
    9181  0.756550  0.665921  0.018608
    9191  0.756513  0.665921  0.018608
    9201  0.756485  0.665921  0.018608
    9211  0.756528  0.665921  0.018608
    9221  0.756562  0.665921  0.018607
    9231  0.756566  0.665921  0.018607
    9241  0.756600  0.665921  0.018606
    9251  0.756594  0.665921  0.018606
    9261  0.756541  0.665921  0.018605
    9271  0.756500  0.665921  0.018604
    9281  0.756433  0.665921  0.018604
    9291  0.756426  0.665921  0.018604
    9301  0.756420  0.665921  0.018603
    9311  0.756414  0.665921  0.018602
    9321  0.756388  0.665922  0.018601
    9331  0.756395  0.665922  0.018600
    9341  0.756407  0.665922  0.018598
    9351  0.756372  0.665922  0.018597
    9361  0.756327  0.665922  0.018595
    9371  0.756340  0.665922  0.018594
    9381  0.756337  0.665922  0.018592
    9391  0.756347  0.665922  0.018590
    9401  0.756361  0.665922  0.018588
    9411  0.756411  0.665922  0.018586
    9421  0.756433  0.665922  0.018583
    9431  0.756452  0.665922  0.018581
    9441  0.756443  0.665923  0.018579
    9451  0.756424  0.665923  0.018576
    9461  0.756449  0.665923  0.018573
    9471  0.756478  0.665923  0.018571
    9481  0.756465  0.665923  0.018568
    9491  0.756484  0.665923  0.018565
    9501  0.756562  0.665923  0.018562
    9511  0.756610  0.665923  0.018560
    9521  0.756647  0.665923  0.018558
    9531  0.756653  0.665924  0.018555
    9541  0.756640  0.665924  0.018552
    9551  0.756627  0.665924  0.018550
    9561  0.756625  0.665924  0.018547
    9571  0.756604  0.665924  0.018544
    9581  0.756577  0.665924  0.018541
    9591  0.756523  0.665924  0.018538
    9601  0.756440  0.665924  0.018536
    9611  0.756369  0.665925  0.018534
    9621  0.756292  0.665925  0.018533
    9631  0.756260  0.665925  0.018532
    9641  0.756193  0.665925  0.018531
    9651  0.756118  0.665925  0.018531
    9661  0.756034  0.665925  0.018531
    9671  0.755985  0.665925  0.018532
    9681  0.755934  0.665925  0.018532
    9691  0.755857  0.665925  0.018534
    9701  0.755807  0.665925  0.018535
    9711  0.755762  0.665924  0.018536
    9721  0.755709  0.665924  0.018538
    9731  0.755684  0.665924  0.018539
    9741  0.755644  0.665924  0.018541
    9751  0.755604  0.665924  0.018542
    9761  0.755559  0.665924  0.018544
    9771  0.755536  0.665924  0.018545
    9781  0.755524  0.665924  0.018547
    9791  0.755544  0.665924  0.018548
    9801  0.755564  0.665924  0.018549
    9811  0.755557  0.665924  0.018550
    9821  0.755548  0.665924  0.018550
    9831  0.755547  0.665924  0.018551
    9841  0.755577  0.665924  0.018551
    9851  0.755625  0.665924  0.018552
    9861  0.755672  0.665924  0.018552
    9871  0.755719  0.665924  0.018553
    9881  0.755732  0.665924  0.018554
    9891  0.755726  0.665924  0.018554
    9901  0.755740  0.665924  0.018554
    9911  0.755743  0.665924  0.018554
    9921  0.755708  0.665924  0.018555
    9931  0.755673  0.665924  0.018555
    9941  0.755661  0.665924  0.018555
    9951  0.755686  0.665924  0.018555
    9961  0.755681  0.665924  0.018554
    9971  0.755657  0.665924  0.018554
    9981  0.755622  0.665924  0.018554
    9991  0.755554  0.665924  0.018554
    9001  0.816779  0.666335  0.012917
    9011  0.816750  0.666335  0.012914
    9021  0.816713  0.666335  0.012911
    9031  0.816677  0.666335  0.012908
    9041  0.816625  0.666335  0.012906
    9051  0.816563  0.666335  0.012904
    9061  0.816517  0.666335  0.012903
    9071  0.816503  0.666335  0.012901
    9081  0.816512  0.666335  0.012899
    9091  0.816517  0.666335  0.012897
    9101  0.816505  0.666335  0.012895
    9111  0.816494  0.666335  0.012893
    9121  0.816450  0.666335  0.012891
    9131  0.816417  0.666336  0.012889
    9141  0.816351  0.666336  0.012887
    9151  0.816287  0.666336  0.012887
    9161  0.816265  0.666336  0.012886
    9171  0.816209  0.666336  0.012886
    9181  0.816205  0.666336  0.012885
    9191  0.816208  0.666336  0.012884
    9201  0.816217  0.666336  0.012884
    9211  0.816217  0.666336  0.012883
    9221  0.816215  0.666336  0.012881
    9231  0.816238  0.666336  0.012880
    9241  0.816226  0.666336  0.012879
    9251  0.816206  0.666336  0.012877
    9261  0.816176  0.666336  0.012876
    9271  0.816154  0.666336  0.012875
    9281  0.816148  0.666336  0.012873
    9291  0.816171  0.666336  0.012871
    9301  0.816179  0.666336  0.012869
    9311  0.816167  0.666336  0.012868
    9321  0.816204  0.666336  0.012866
    9331  0.816212  0.666336  0.012864
    9341  0.816198  0.666336  0.012862
    9351  0.816197  0.666336  0.012860
    9361  0.816217  0.666336  0.012857
    9371  0.816242  0.666336  0.012855
    9381  0.816237  0.666336  0.012853
    9391  0.816201  0.666336  0.012851
    9401  0.816144  0.666336  0.012849
    9411  0.816111  0.666337  0.012847
    9421  0.816088  0.666337  0.012845
    9431  0.816097  0.666337  0.012843
    9441  0.816108  0.666337  0.012841
    9451  0.816132  0.666337  0.012839
    9461  0.816176  0.666337  0.012838
    9471  0.816211  0.666337  0.012836
    9481  0.816256  0.666337  0.012834
    9491  0.816293  0.666337  0.012833
    9501  0.816327  0.666337  0.012832
    9511  0.816334  0.666337  0.012830
    9521  0.816372  0.666337  0.012829
    9531  0.816398  0.666337  0.012828
    9541  0.816402  0.666337  0.012827
    9551  0.816410  0.666337  0.012825
    9561  0.816417  0.666337  0.012823
    9571  0.816428  0.666337  0.012822
    9581  0.816449  0.666337  0.012820
    9591  0.816464  0.666337  0.012818
    9601  0.816506  0.666337  0.012817
    9611  0.816557  0.666337  0.012815
    9621  0.816581  0.666337  0.012814
    9631  0.816623  0.666337  0.012813
    9641  0.816633  0.666337  0.012811
    9651  0.816622  0.666337  0.012810
    9661  0.816628  0.666337  0.012809
    9671  0.816658  0.666337  0.012807
    9681  0.816670  0.666338  0.012806
    9691  0.816694  0.666338  0.012804
    9701  0.816724  0.666338  0.012803
    9711  0.816764  0.666338  0.012802
    9721  0.816799  0.666338  0.012800
    9731  0.816833  0.666338  0.012799
    9741  0.816844  0.666338  0.012798
    9751  0.816834  0.666338  0.012797
    9761  0.816826  0.666338  0.012795
    9771  0.816818  0.666338  0.012794
    9781  0.816819  0.666338  0.012792
    9791  0.816824  0.666338  0.012791
    9801  0.816815  0.666338  0.012789
    9811  0.816827  0.666338  0.012787
    9821  0.816850  0.666338  0.012785
    9831  0.816871  0.666338  0.012783
    9841  0.816904  0.666338  0.012782
    9851  0.816900  0.666338  0.012780
    9861  0.816882  0.666338  0.012778
    9871  0.816920  0.666338  0.012776
    9881  0.816950  0.666338  0.012774
    9891  0.816951  0.666338  0.012772
    9901  0.816963  0.666338  0.012771
    9911  0.816986  0.666339  0.012769
