   #Iter             Tot             Exc             Ani              DM              PD           BiqDM              BQ             Dip          Zeeman             LSF            Chir
    5950  1.28591648E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.28591648E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6000  1.49139909E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.49139909E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6050  1.20586915E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.20586915E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6100  1.59532600E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.59532600E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6150  6.35700146E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.35700146E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6200  2.55774557E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.55774557E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6250  2.97583235E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.97583235E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6300  7.58982566E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.58982566E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6350  1.32567863E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.32567863E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6400  2.18701476E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.18701476E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6450  1.42172094E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.42172094E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    6500  1.93690997E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.93690997E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
