#  Iter.   M_avg.    U_Bind.    Susc.
    9301  0.186301  0.666555  0.004239
    9311  0.186299  0.666555  0.004239
    9321  0.186300  0.666555  0.004239
    9331  0.186298  0.666555  0.004239
    9341  0.186299  0.666555  0.004239
    9351  0.186301  0.666555  0.004240
    9361  0.186300  0.666555  0.004240
    9371  0.186299  0.666555  0.004240
    9381  0.186299  0.666555  0.004240
    9391  0.186302  0.666555  0.004240
    9401  0.186301  0.666555  0.004240
    9411  0.186301  0.666555  0.004240
    9421  0.186300  0.666555  0.004240
    9431  0.186298  0.666555  0.004240
    9441  0.186296  0.666555  0.004241
    9451  0.186298  0.666555  0.004241
    9461  0.186301  0.666555  0.004241
    9471  0.186304  0.666555  0.004241
    9481  0.186304  0.666555  0.004241
    9491  0.186304  0.666555  0.004241
    9501  0.186305  0.666555  0.004241
    9511  0.186303  0.666555  0.004241
    9521  0.186305  0.666555  0.004241
    9531  0.186304  0.666555  0.004241
    9541  0.186303  0.666555  0.004241
    9551  0.186308  0.666555  0.004241
    9561  0.186306  0.666555  0.004241
    9571  0.186303  0.666555  0.004242
    9581  0.186301  0.666555  0.004242
    9591  0.186302  0.666555  0.004242
    9601  0.186304  0.666555  0.004242
    9611  0.186307  0.666555  0.004242
    9621  0.186310  0.666555  0.004242
    9631  0.186311  0.666555  0.004242
    9641  0.186313  0.666555  0.004242
    9651  0.186314  0.666555  0.004242
    9661  0.186313  0.666555  0.004242
    9671  0.186310  0.666555  0.004242
    9681  0.186314  0.666555  0.004242
    9691  0.186316  0.666555  0.004242
    9701  0.186318  0.666555  0.004243
    9711  0.186314  0.666555  0.004243
    9721  0.186313  0.666555  0.004243
    9731  0.186314  0.666555  0.004244
    9741  0.186316  0.666555  0.004244
    9751  0.186314  0.666555  0.004244
    9761  0.186312  0.666555  0.004244
    9771  0.186315  0.666555  0.004245
    9781  0.186314  0.666555  0.004245
    9791  0.186312  0.666555  0.004245
    9801  0.186316  0.666555  0.004246
    9811  0.186317  0.666555  0.004246
    9821  0.186316  0.666555  0.004246
    9831  0.186314  0.666555  0.004246
    9841  0.186315  0.666555  0.004247
    9851  0.186313  0.666555  0.004247
    9861  0.186312  0.666555  0.004247
    9871  0.186314  0.666555  0.004247
    9881  0.186313  0.666555  0.004248
    9891  0.186311  0.666555  0.004248
    9901  0.186308  0.666555  0.004248
    9911  0.186307  0.666555  0.004249
    9921  0.186308  0.666555  0.004249
    9931  0.186308  0.666555  0.004249
    9941  0.186310  0.666555  0.004249
    9951  0.186312  0.666555  0.004250
    9961  0.186312  0.666555  0.004250
    9971  0.186314  0.666555  0.004250
    9981  0.186315  0.666555  0.004250
    9991  0.186317  0.666555  0.004250
    9001  0.193320  0.666645  0.001765
    9011  0.193320  0.666645  0.001766
    9021  0.193320  0.666645  0.001766
    9031  0.193320  0.666645  0.001766
    9041  0.193318  0.666645  0.001766
    9051  0.193319  0.666645  0.001767
    9061  0.193317  0.666645  0.001767
    9071  0.193316  0.666645  0.001767
    9081  0.193317  0.666645  0.001768
    9091  0.193316  0.666645  0.001768
    9101  0.193314  0.666645  0.001768
    9111  0.193312  0.666645  0.001769
    9121  0.193311  0.666645  0.001769
    9131  0.193310  0.666645  0.001769
    9141  0.193311  0.666645  0.001770
    9151  0.193311  0.666645  0.001770
    9161  0.193309  0.666645  0.001770
    9171  0.193310  0.666645  0.001771
    9181  0.193307  0.666645  0.001771
    9191  0.193306  0.666645  0.001772
    9201  0.193308  0.666645  0.001772
    9211  0.193308  0.666645  0.001772
    9221  0.193309  0.666645  0.001773
    9231  0.193311  0.666645  0.001773
    9241  0.193311  0.666645  0.001774
    9251  0.193311  0.666645  0.001774
    9261  0.193311  0.666645  0.001775
    9271  0.193311  0.666645  0.001775
    9281  0.193311  0.666645  0.001775
    9291  0.193311  0.666645  0.001776
    9301  0.193312  0.666645  0.001776
    9311  0.193313  0.666645  0.001776
    9321  0.193311  0.666645  0.001777
    9331  0.193312  0.666645  0.001777
    9341  0.193312  0.666645  0.001777
    9351  0.193312  0.666645  0.001778
    9361  0.193313  0.666645  0.001778
    9371  0.193313  0.666645  0.001778
    9381  0.193314  0.666645  0.001779
    9391  0.193313  0.666645  0.001779
    9401  0.193313  0.666645  0.001779
    9411  0.193312  0.666645  0.001779
    9421  0.193312  0.666645  0.001779
    9431  0.193311  0.666645  0.001780
    9441  0.193310  0.666645  0.001780
    9451  0.193310  0.666645  0.001780
    9461  0.193309  0.666645  0.001780
    9471  0.193310  0.666645  0.001781
    9481  0.193311  0.666645  0.001781
    9491  0.193311  0.666645  0.001781
    9501  0.193313  0.666645  0.001781
    9511  0.193314  0.666645  0.001781
    9521  0.193311  0.666645  0.001782
    9531  0.193310  0.666645  0.001782
    9541  0.193311  0.666645  0.001782
    9551  0.193312  0.666645  0.001782
    9561  0.193312  0.666645  0.001783
    9571  0.193312  0.666645  0.001783
    9581  0.193312  0.666645  0.001783
    9591  0.193312  0.666645  0.001783
    9601  0.193310  0.666645  0.001783
    9611  0.193310  0.666645  0.001784
    9621  0.193310  0.666645  0.001784
    9631  0.193309  0.666645  0.001784
    9641  0.193309  0.666645  0.001784
    9651  0.193311  0.666645  0.001785
    9661  0.193311  0.666645  0.001785
    9671  0.193311  0.666645  0.001785
    9681  0.193311  0.666645  0.001785
    9691  0.193312  0.666645  0.001786
    9701  0.193312  0.666645  0.001786
